ABX3,exp_label,is_train,A,B,X,nA,nB,nX,rA (Ang),rB (Ang),rX (Ang),t,tau,t_pred,tau_pred,tau_prob,encoded_label,rA_rX,rB_rX,d_AX,d_BX,chi_A,Z_A,chi_B,Z_B,chi_X,Z_X,delta_chi_AX,delta_chi_BX
LaYO3,1,1,La,Y,O,3,3,-2,1.36,0.9,1.4,0.85,3.54,1,1,0.79,1,0.9714285714285715,0.6428571428571429,2.76,2.3,1.1,57.0,1.22,39.0,3.44,8.0,2.34,2.2199999999999998
LiNO3,-1,1,Li,N,O,1,5,-2,0.92,0.13,1.4,1.07,13.39,-1,-1,0.0,0,0.6571428571428573,0.09285714285714286,2.32,1.5299999999999998,0.98,3.0,3.04,7.0,3.44,8.0,2.46,0.3999999999999999
LiNbO3,-1,1,Li,Nb,O,1,5,-2,0.92,0.64,1.4,0.8,5.15,-1,-1,0.19,0,0.6571428571428573,0.4571428571428572,2.32,2.04,0.98,3.0,1.6,41.0,3.44,8.0,2.46,1.8399999999999999
LiPO3,-1,1,Li,P,O,1,5,-2,0.92,0.38,1.4,0.92,5.42,1,-1,0.14,0,0.6571428571428573,0.27142857142857146,2.32,1.7799999999999998,0.98,3.0,2.19,15.0,3.44,8.0,2.46,1.25
LiReO3,-1,1,Li,Re,O,1,5,-2,0.92,0.58,1.4,0.83,4.85,1,-1,0.26,0,0.6571428571428573,0.41428571428571426,2.32,1.98,0.98,3.0,1.9,75.0,3.44,8.0,2.46,1.54
LiSbO3,-1,1,Li,Sb,O,1,5,-2,0.92,0.6,1.4,0.82,4.92,-1,-1,0.24,0,0.6571428571428573,0.4285714285714286,2.32,2.0,0.98,3.0,2.05,51.0,3.44,8.0,2.46,1.3900000000000001
LiTaO3,-1,1,Li,Ta,O,1,5,-2,0.92,0.64,1.4,0.8,5.15,-1,-1,0.19,0,0.6571428571428573,0.4571428571428572,2.32,2.04,0.98,3.0,1.5,73.0,3.44,8.0,2.46,1.94
LiVO3,-1,1,Li,V,O,1,5,-2,0.92,0.54,1.4,0.85,4.79,1,-1,0.28,0,0.6571428571428573,0.3857142857142858,2.32,1.94,0.98,3.0,1.63,23.0,3.44,8.0,2.46,1.81
LuMnO3,1,1,Lu,Mn,O,3,3,-2,1.03,0.64,1.4,0.84,3.38,1,1,0.83,1,0.7357142857142858,0.4571428571428572,2.4299999999999997,2.04,1.0,71.0,1.55,25.0,3.44,8.0,2.44,1.89
PrLuO3,1,1,Pr,Lu,O,3,3,-2,1.18,0.86,1.4,0.81,5.7,-1,-1,0.1,1,0.8428571428571429,0.6142857142857143,2.58,2.26,1.13,59.0,1.0,71.0,3.44,8.0,2.31,2.44
